"","2.5%","50%","97.5%"
"grid_1",11.6347717874851,13.5222529249221,15.2370313755463
"grid_19",10.8856992163954,13.4116937914406,15.5967450271248
"grid_2",10.7086645548184,12.6511664973203,14.7194329886638
"grid_7",10.5180911167208,12.3712785991906,14.2244660816605
"grid_3",9.98271649085166,11.7210004569204,13.5350239386535
"grid_8",8.83964877128882,10.4602510460251,12.0317441609209
"grid_20",8.19000819000819,10.3837603837604,12.9815286065286
"grid_5",8.16825629738322,9.9290780141844,11.7877231596967
"grid_6",6.83771217569501,8.55469203108688,10.4166666666667
"grid_11",5.96665129860151,7.78648634803545,9.630654167307
"grid_16",5.55136584548349,7.17487849840791,8.95550527903469
"grid_18",5.54544420429985,7.15694081067759,8.86323133507754
"grid_4",5.41711809317443,7.09742787207576,9.07868865615344
"grid_12",5.13140293183212,6.6885903795775,8.24577782732289
"grid_17",4.75981457741114,6.4563476580644,8.15288073871764
"grid_15",4.75691208449829,6.35872941907425,8.13164996893445
"grid_13",3.19284802043423,4.48994252873563,6.28591954022988
"grid_14",2.70465200144248,3.90671955763914,5.18516848980245
