Gd-St,DIDE,DIME,MIPA,PELO,DIOR,ONsp,PEMA,PETR,TotalCaps,SR
15114,,2,1,,,,,,3,2
15115,,6,2,5,,,,,13,3
15116,,6,,2,,,,,8,2
15201,3,,1,2,,,,,6,3
15202,,,,4,,,,,4,1
15203,1,1,,1,,,,,3,3
15204,1,,1,1,,,,,3,3
15205,,,1,1,,,,,2,2
15206,1,2,,2,,,,,5,3
15207,,1,,1,,1,,,3,3
15208,1,,,1,2,,,,4,3
15209,,,,1,,,,,1,1
15210,,,,1,,,,,1,1
15211,,,,2,,,,,2,1
15212,,2,,2,,,,,4,2
15213,1,4,,4,,,,,9,3
15214,,2,1,3,,,2,,8,4
15215,,3,1,3,,,,,7,3
15216,,3,1,2,,,,,6,3
15301,1,,3,2,,,,,6,3
15302,1,,3,,,,,,4,2
15303,,1,,2,,,,,3,2
15304,,2,,,,,,,2,1
15305,2,1,1,,,,,,4,3
15306,,,2,2,,,,,4,2
15307,1,,2,,,,,,3,2
15308,3,,2,1,1,,,,7,4
15309,1,,3,1,,,,,5,3
15310,,,1,2,1,,,,4,3
15311,,,2,3,1,,,,6,3
15312,,2,,4,,,,,6,2
15313,,5,,,,,,,5,1
15314,,3,,1,,,,,4,2
15315,,4,,2,,,,,6,2
15316,,2,,4,,1,,,7,3
15401,3,,,2,,,,,5,2
15402,1,,3,1,,,,,5,3
15403,1,,,4,,,,,5,2
15404,,3,1,2,,,,,6,3
15405,1,1,,3,,,,,5,3
15406,2,1,,1,1,,,,5,4
15407,2,,,2,,,,,4,2
15408,2,,1,3,,,,,6,3
15409,1,1,3,3,,,,,8,4
15410,,,4,3,,,,,7,2
15411,,2,1,1,,,,,4,3
15412,,2,4,5,,,,,11,3
15413,,6,,2,,,,,8,2
15414,,5,1,3,,1,,,10,4
15415,,3,,6,,3,,,12,3
15416,,5,,2,,,,,7,2
16101,,5,,2,,,,,7,2
16102,,2,,3,,1,,,6,3
16103,,3,,3,1,1,,,8,4
16104,,4,2,,1,,,,7,3
16105,,,,7,,,,,7,1
16106,,,5,2,,,,,7,2
16107,,,3,2,1,,,,6,3
16108,2,,3,1,1,,,,7,4
16109,1,,1,,,,,,2,2
16110,1,,1,,,,,,2,2
16111,,,4,1,,,,,5,2
16112,,1,,1,,1,,,3,3
16113,,,2,1,,,,,3,2
16114,,,1,1,,,,,2,2
16115,2,,2,1,1,,,,6,4
16116,1,,1,1,3,,,,6,4
16201,1,1,,5,,,,,7,3
16202,,2,,3,,,,,5,2
16203,,3,,1,,,,,4,2
16204,,,2,,,,,,2,1
16205,,,1,3,1,,,,5,3
16206,,,2,1,,,,,3,2
16207,,,3,2,,,,,5,2
16208,,,,2,,,,,2,1
16209,1,,,1,,,,,2,2
16210,2,,,1,,,,,3,2
16211,,1,,2,,,,,3,2
16212,,2,2,2,,,,,6,3
16213,,1,,3,,,,,4,2
16214,,,,5,,,,,5,1
16215,2,,,1,,,,,3,2
16216,2,,2,1,,,,,5,3
16301,,4,,2,,1,,,7,3
16302,,4,,2,,1,,,7,3
16303,1,,,1,,,,,2,2
16304,,1,,2,,1,,,4,3
16305,,3,1,3,,,,,7,3
16306,,,,2,,,,,2,1
16307,2,2,,3,,,,,7,3
16308,1,1,,1,,,,1,4,4
16309,3,1,1,1,,,,,6,4
16310,,1,1,1,,,,,3,3
16311,,2,,,,,,,2,1
16312,1,2,1,1,,,,,5,4
16313,,2,1,2,,,,,5,3
16314,1,,1,,,,,,2,2
16315,1,,1,4,,,,,6,3
16316,,1,2,4,1,,,,8,4
16401,,3,,,,1,,,4,2
16402,,6,,5,,,,,11,2
16403,1,4,,7,,1,,,13,4
16404,2,3,2,1,,,,,8,4
16405,,4,2,1,,1,,,8,4
16406,,5,1,3,,,,,9,3
16407,1,4,,1,,,,,6,3
16408,4,,,2,,,,,6,2
16409,,1,4,3,,,,,8,3
16410,1,,5,1,1,,,,8,4
16411,,1,1,1,1,,,,4,4
16412,,2,1,1,2,,,,6,6
16413,,1,4,,,,,,5,2
16414,2,,2,3,,,,,7,3
16415,1,,,2,1,,,,4,3
16416,,1,2,6,,1,,,10,4
17101,4,,,,,,,,4,1
17102,2,,2,,,,,,4,2
17103,2,,1,,,,,,3,2
17104,2,,,1,,,,,3,2
17105,5,,,1,,,,,6,2
17106,2,,3,,,,,,5,2
17107,1,,2,,,,,,3,2
17108,1,,3,2,,,,,6,3
17109,1,1,2,2,,,,,6,4
17110,,,3,1,,,,,4,2
17111,,,1,2,,,,,3,2
17112,,,1,3,,,,,4,2
17113,,4,2,,,,,,6,2
17114,,2,1,,,,1,,4,3
17115,,3,,4,1,,,,8,3
17116,,6,1,6,1,,,,14,4
17201,5,,1,1,,,,,7,3
17202,1,,3,,,,,,4,2
17203,,,2,,,,,,2,1
17204,,,,,,,,,0,0
17205,,,,1,,,,,1,1
17206,2,,1,2,,,,,5,3
17207,,,2,1,,,,,3,2
17208,,,,3,,,,,3,1
17209,1,,1,3,,1,,,6,4
17210,,,1,1,,,,,2,2
17211,,,2,,,,,,0,0
17212,,,,,,,,,0,1
17213,,,,1,,,1,,2,2
17214,,1,,1,,,,,2,2
17215,,,,1,1,,,2,4,3
17216,,1,2,5,,,,,8,3
17301,1,,,2,,,,,3,2
17302,3,,,,,,,,3,1
17303,1,,,2,,,,,3,2
17304,,,1,2,,,,,3,2
17305,1,,,,,,,,1,1
17306,,,1,,,,,,1,1
17307,,,,1,,,,,1,1
17308,1,,,1,1,,,,3,3
17309,1,,,2,,,,,3,2
17310,3,,,,,,,,3,1
17311,1,,,4,,,,1,6,3
17312,1,1,1,,,,,,3,3
17313,,,,3,,,,,3,1
17314,1,2,4,1,,,,,8,4
17315,,1,2,1,,,,,4,3
17316,1,1,4,3,,,,,9,4
17401,6,,,,,,,,6,1
17402,1,,,1,,,,,2,2
17403,,,1,4,,,,,5,2
17404,,,1,3,,,,,4,2
17405,1,,1,,,,,,2,2
17406,3,,2,,,,,,5,2
17407,1,,,,,,1,,2,2
17408,1,,,,,,,,1,1
17409,2,,,,,,,,2,1
17410,,,3,,,,,,3,1
17411,1,,1,1,,,,,3,3
17412,1,,1,,,,,,2,2
17413,,,,1,,,,,1,1
17414,1,,1,1,,,,,3,3
17415,,5,,4,1,,,,10,3
17416,,5,,2,,,,,7,2
18101,6,,1,,,,,,7,2
18102,3,,1,2,3,,,,9,4
18103,2,,,,,,,,2,1
18104,4,,,2,1,,,,7,4
18105,2,,,,2,1,,,5,3
18106,4,,,,1,,,,5,2
18107,4,,1,,5,,,,10,3
18108,,,1,,3,1,,1,6,4
18109,5,,,2,,,,,7,2
18110,2,,1,1,,,,,4,3
18111,1,3,1,3,,,2,,10,5
18112,1,1,,2,1,,1,1,7,7
18113,,3,,,1,,,,4,2
18114,,,1,1,,,,,2,2
18115,5,1,1,3,,,,,10,4
18116,2,,,3,,,,,5,2
18201,2,1,,2,1,,,,6,5
18202,6,,1,5,,,,,12,3
18203,6,,,2,,,,,8,2
18204,2,1,1,1,2,,,,7,5
18205,2,1,,1,,,,,4,3
18206,2,,2,2,2,,,,8,4
18207,1,,1,,1,,,,3,3
18208,,,1,2,1,,,,4,3
18209,,,,1,,,,,1,1
18210,,,4,1,,,,,5,2
18211,,1,,,,,,,1,2
18212,1,,,2,,,,,3,2
18213,,,1,,,,,1,2,2
18214,,1,2,,1,,,,4,3
18215,,2,1,4,1,,1,,9,5
18216,2,,1,,,,1,,4,3
18301,8,,2,,,,,,10,2
18302,3,,2,1,,,1,,7,4
18303,2,,1,,,,,,3,2
18304,2,,,1,1,,,,4,3
18305,2,,2,1,,,,,5,3
18306,1,,,,1,,,,2,2
18307,,,1,3,1,,,,5,3
18308,,,,1,2,1,,,4,3
18309,1,,5,1,1,,,,8,4
18310,1,,2,3,,,,,6,3
18311,,,2,1,,,,,3,2
18312,1,,,,,,,,1,1
18313,1,,,,3,,,,4,2
18314,1,,,2,2,,,,5,3
18315,1,1,,,,,,,2,2
18316,,,1,2,1,,,,4,3
18401,7,1,,4,,,,,12,4
18402,3,1,2,2,1,,,,9,5
18403,3,,2,1,3,,,,9,4
18404,6,,2,,,,,1,9,3
18405,4,,1,3,,,,,8,3
18406,5,,2,3,,,,,10,3
18407,,,,1,2,,,,3,3
18408,,,3,,3,,,,6,2
18409,3,,2,2,2,,,,9,4
18410,1,,2,,2,1,,,6,4
18411,5,,3,,2,,1,,11,4
18412,3,,1,,3,1,,,8,4
18413,4,,,,,,1,,5,2
18414,1,,2,1,1,,,,5,4
18415,,,1,2,5,,,,8,3
18416,,,2,2,2,,,,6,3
19101,,,4,1,,,,,5,2
19102,,,,1,,,,,1,1
19103,,,1,,,,,,1,1
19104,,,1,,,,,,1,1
19105,,,3,,,,,,3,1
19106,,,2,,,,,,2,1
19107,,,1,,,,,,1,1
19108,,,3,,,,,,3,1
19109,1,,3,,,,,,4,2
19110,5,,,1,,,,,6,2
19111,,,2,1,,,,,3,2
19112,,4,1,1,,,,,6,3
19113,,3,1,2,,,,,6,3
19114,2,4,2,2,1,,,,11,5
19115,1,6,,8,,,,,15,3
19116,,1,4,6,,,,,11,3
19201,,1,3,,,,,,4,2
19202,,,3,,,,,,3,1
19203,,,,,,,,,0,0
19204,,,3,,,,,,3,1
19205,,,1,,,,,,1,1
19206,,,,1,,,,,1,1
19207,,,1,,,,,,1,1
19208,1,,1,,,,,1,3,3
19209,,,,,,,,,0,0
19210,,1,1,1,,,,,3,3
19211,,,,1,,,,,1,1
19212,,1,2,1,1,,,,5,4
19213,,1,1,,,,,,2,2
19214,,,,1,,,,,1,1
19215,3,1,4,2,,,,,10,4
19216,5,,1,3,1,,,,10,4
19301,,,,1,,,,,1,1
19302,,,2,,,,,,2,1
19303,,,1,,,,,,1,1
19304,,,2,,,,,,2,1
19305,1,,1,,,,,,2,2
19306,,,,,,,,,0,0
19307,,,1,,,,,,1,1
19308,,,,1,,,,,1,1
19309,,,1,1,,,,,2,2
19310,,,1,,,,,,1,1
19311,,,1,3,,,,,4,2
19312,,,1,1,,,,,2,2
19313,,,1,1,,,,,2,2
19314,,1,2,2,,,,,5,3
19315,2,5,,,,,,,7,2
19316,,,2,3,,,,,5,2
19401,,,4,1,,,,,5,2
19402,,,,,,,,,0,0
19403,,,1,,,,,,1,1
19404,,,,,,,,,0,0
19405,,,1,,,,,,1,1
19406,,,2,2,,,,,4,2
19407,,,1,1,,,,,2,2
19408,,,2,2,,,,,4,2
19409,2,1,,,,,,,3,2
19410,1,,,1,,,,,2,2
19411,1,,1,4,,,,,6,3
19412,1,,1,1,,,,,3,3
19413,1,1,1,7,2,,,,12,5
19414,2,,1,2,,,,,5,3
19415,1,1,,5,,,,,7,3
19416,,5,5,4,,,,,14,3
20101,6,,,1,,,,,7,2
20102,3,,,,1,,,,4,2
20103,4,,1,,,,,,5,2
20104,,1,1,1,,,,,3,3
20105,1,,1,,,,,,2,2
20106,3,1,1,1,,,,,6,4
20107,2,,,,,,,,2,1
20108,1,,,,,,,,1,1
20109,,,,,,,,,0,0
20110,1,,1,,,,,,2,2
20111,,,2,,,,,,2,1
20112,,,4,,,,,,4,1
20113,,,3,1,,,,,4,2
20114,2,,,,,,,,2,1
20115,4,,,,1,,,,5,3
20116,2,,2,,,,,,4,2
20201,6,,,,,,,,6,1
20202,2,1,,1,,,,,4,3
20203,2,,,,,,,,2,1
20204,2,,,,,,,,2,1
20205,4,,1,,,,,,5,2
20206,1,,1,,1,,,,3,3
20207,3,,,,,,,,3,1
20208,1,,,,,,,,1,1
20209,1,,,,,,,,1,1
20210,,,,,,,,,0,0
20211,,,2,,,,,1,3,2
20212,1,,,1,,,,,2,2
20213,2,,,,1,,,,3,2
20214,,,1,,,,,,1,1
20215,,,1,,,,,,1,1
20216,3,,,,,,,,3,1
20301,8,,1,1,,,,,10,3
20302,2,,,1,,,,1,4,3
20303,,1,2,,1,,,,4,3
20304,3,,,,,,,,3,1
20305,1,,,,,,,,1,1
20306,,,1,1,,,,,2,2
20307,,,1,2,,,,,3,2
20308,2,,,,,,,,2,1
20309,4,,,,,,,,4,1
20310,2,,2,1,,,,,5,3
20311,,,,,,,,,0,0
20312,1,,1,1,,,,,3,3
20313,1,,,,,,,,1,1
20314,,,,1,,,,,1,2
20315,,,,1,,1,,,2,3
20316,,,4,2,,1,,,7,3
20401,1,,1,2,3,,,,7,4
20402,2,,,3,1,,,1,7,4
20403,1,,1,,1,,,,3,3
20404,1,,,,,,,,1,1
20405,2,1,,,,,,,3,2
20406,4,5,2,1,1,,,,13,5
20407,1,,1,,1,,,,3,3
20408,,,,3,,,,,3,2
20409,1,,3,,,,,,4,2
20410,2,,4,2,1,,,,9,4
20411,,,2,,,,,,2,1
20412,,,1,3,,,,,4,2
20413,1,,3,1,1,,,,6,4
20414,3,,1,1,,,,,5,3
20415,,,2,,,,,,2,1
20416,,,3,,,,,,3,1
