Sess-Gd-Occ ID,Session,Min Temp,Max Temp,Avg Wind,Max Wind,Precip (mm),Moon Score
2_3_3,2,9.883333333,33.5,1.949944375,5.12262,0,1
2_4_1,2,8.983333333,28.16666667,1.666714,3.40614,0,1
2_4_2,2,10.92222222,30.66666667,2.178733875,5.29695,0,1
2_4_3,2,9.883333333,33.5,1.949944375,5.12262,0,1
2_5_1,2,10.84444444,21.98333333,6.8943045,12.49365,0,1
2_5_2,2,2.116666667,26.04444444,2.747019875,5.61879,0,1
2_5_3,2,4.755555556,30.88888889,1.0904565,2.424975,0,1
2_6_1,2,10.84444444,21.98333333,6.8943045,12.49365,0,1
2_6_2,2,2.116666667,26.04444444,2.747019875,5.61879,0,1
2_6_3,2,4.755555556,30.88888889,1.0904565,2.424975,0,1
2_7_1,2,17.36666667,31.22222222,7.219348,11.35827,0,1
2_7_2,2,16.37777778,31.33333333,6.385097,10.83528,0,1
2_7_3,2,11.91111111,31.22222222,2.406499,5.25225,0,1
2_8_1,2,17.36666667,31.22222222,7.219348,11.35827,0,1
2_8_2,2,16.37777778,31.33333333,6.385097,10.83528,0,1
2_8_3,2,11.91111111,31.22222222,2.406499,5.25225,0,1
3_1_1,3,6.027777778,30,2.78499625,7.69287,0,1
3_1_2,3,10.52777778,23.16111111,6.611968125,12.56964,0,1
3_1_3,3,4.477777778,21.24444444,4.81512125,7.33527,0,1
3_11_1,3,3.855555556,20.45555556,2.592506875,4.72926,0,1
3_11_2,3,0.111111111,21.70555556,2.7202185,5.93616,0,0
3_11_3,3,1.466666667,22.28333333,3.086702625,8.13987,0,0
3_12_1,3,-1.061111111,20.23333333,4.397865375,8.11305,0,0
3_12_2,3,1.55,20.43888889,3.38293325,6.36975,0,0
3_12_3,3,-0.283333333,22.00555556,1.5122755,4.56834,0,0
3_13_1,3,-0.644444444,18.27222222,3.9810565,8.81484,0,1
3_13_2,3,-3.233333333,18.28888889,1.415779375,3.369486,0,1
3_13_3,3,5.133333333,19.66666667,2.18504775,8.36337,0,1
3_14_1,3,-0.644444444,18.27222222,3.9810565,8.81484,0,1
3_14_2,3,-3.233333333,18.28888889,1.415779375,3.369486,0,1
3_14_3,3,5.133333333,19.66666667,2.18504775,8.36337,0,1
3_15_1,3,3.855555556,20.45555556,2.592506875,4.72926,0,1
3_15_2,3,0.111111111,21.70555556,2.7202185,5.93616,0,0
3_15_3,3,1.466666667,22.28333333,3.086702625,8.13987,0,0
3_16_1,3,1.161111111,15.94444444,4.841699125,9.26184,0,1
3_16_2,3,-2.122222222,12.18888889,5.0441715,9.14115,0,1
3_16_3,3,-4.2,14.36666667,4.24191825,7.82697,0,2
3_17_1,3,6.333333333,19.93888889,3.102347625,8.5377,0,1
3_17_2,3,1.161111111,15.94444444,4.841699125,9.26184,0,1
3_17_3,3,-2.122222222,12.18888889,5.0441715,9.14115,0,1
3_18_1,3,6.027777778,30,2.78499625,7.69287,0,1
3_18_2,3,10.52777778,23.16111111,6.611968125,12.56964,0,1
3_18_3,3,4.477777778,21.24444444,4.81512125,7.33527,0,1
3_19_1,3,0.605555556,23.18333333,2.184991875,4.85442,0,1
3_19_2,3,-0.855555556,27.61111111,2.529256375,7.44702,0,1
3_19_3,3,8.927777778,22.86666667,3.032597,6.6603,0,1
3_2_1,3,0.305555556,23.47777778,1.15910825,4.32696,0,0
3_2_2,3,4.194444444,22.8,1.673400375,6.31164,0,0
3_2_3,3,4,20.97222222,2.65715425,5.81547,0,1
3_20_1,3,0.605555556,23.18333333,2.184991875,4.85442,0,1
3_20_2,3,-0.855555556,27.61111111,2.529256375,7.44702,0,1
3_20_3,3,8.927777778,22.86666667,3.032597,6.6603,0,1
3_3_1,3,-9.016666667,16.88888889,1.731435875,5.61432,0,1
3_3_2,3,-3.716666667,21.51111111,2.455818,6.45915,0,1
3_3_3,3,5.983333333,20.44444444,4.325451375,7.05366,0,1
3_4_1,3,1.022222222,19.76111111,1.802508875,3.205437,0,1
3_4_2,3,-0.633333333,23.13888889,1.308983625,4.14369,0,1
3_4_3,3,11.07222222,22.63333333,4.66202375,7.93425,38,1
3_5_1,3,1.022222222,19.76111111,1.802508875,3.205437,0,1
