UnqID,Grid,Station,Gd-St,cobble,gravel,coarsesand,sand3,sand2,sand1,finesand,veryfine,siltclay,Total,UnqID save
329,12,111,12_111,0.309988914,0.085316547,21.68841611,23.02498743,25.54010615,20.18399553,5.780728286,2.400326201,0.986134833,100,
330,5,304,5_304,1.027328143,0.879979152,11.802811,11.25652245,22.83419516,32.43656841,12.52094139,4.111663888,3.129990418,100,
331,12,104,12_104,0,0.028308337,10.61188736,23.66434503,35.20043727,20.81161247,7.127825492,1.912860175,0.642723867,100,
332,12,101,12_101,0.28835989,0,10.43503442,15.64225929,30.75751602,29.30263309,10.24994679,2.385379997,0.938870494,100,
333,12,304,12_304,0.947600844,0.403669011,3.428560312,10.81132608,46.1651444,27.09796026,8.629178947,1.841897925,0.674662231,100,
334,12,405,12_405,0.882619424,0.633503224,16.38792404,14.42767732,26.96791812,27.37500159,9.302093339,2.755893359,1.267369591,100,
335,12,216,12_216,0.079374759,0.301704058,23.83881926,20.39431461,23.79703254,19.82029715,8.226783883,2.386041239,1.155632509,100,
336,3,209,3_209,0.159508802,0.177022148,16.81658892,19.92400582,37.46018719,18.78787046,4.679668895,1.214602009,0.780545764,100,
337,12,413,12_413,0,0.00395178,36.52359837,19.38493665,22.36728259,11.81187032,6.902095691,1.960082863,1.046181749,100,
338,12,302,12_302,0.041233601,0.04858983,6.534267445,11.1504949,42.92650159,27.87604367,8.884582699,1.909135082,0.629151188,100,
339,12,102,12_102,0,0,14.68873708,19.9584761,33.71204487,20.60285971,8.279145492,1.983832683,0.774904066,100,
340,12,105,12_105,0,0,20.30803449,20.73421966,27.66870837,21.96286939,6.653013084,2.012464362,0.660690634,100,
341,12,116,12_116,0,0,15.73452173,22.13417519,30.70557686,22.16219016,7.195137167,1.494445268,0.573953618,100,
342,12,203,12_203,0,0.029303579,20.74790504,17.7612066,33.08568302,19.91558627,6.127038299,1.720654328,0.612622881,100,
346,12,211,12_211,0.404014055,0.227401758,16.9425051,22.31575394,41.78867901,10.11093891,6.156265824,1.284160133,0.77028126,100,
347,12,308,12_308,0.699876098,0.626800517,10.73539735,10.6513892,39.79358546,21.2057279,10.88864509,3.876841754,1.521736629,100,
348,12,410,12_410,0,0.005339548,13.93431212,12.7256674,44.21850954,18.17734544,8.876807103,1.542557147,0.519461697,100,
349,12,406,12_406,12.95896861,2.194543073,8.689312093,6.913627129,22.47840204,29.27639698,10.74467883,4.201302523,2.542768717,100,
350,12,412,12_412,0.324656727,0.164476376,10.9294961,21.21090617,39.87836113,18.00279855,7.14265257,1.619192184,0.72746019,100,
351,12,206,12_206,1.504736999,0.339850572,14.415672,10.43936141,33.37647728,26.18410241,9.758335027,2.957200621,1.024263682,100,
352,12,316,12_316,0.127492769,0,30.08760154,23.53582253,17.42291618,19.47162291,6.556449716,1.988506622,0.809587733,100,
353,12,314,12_314,0,0.219499688,40.30646885,6.482749146,29.51951295,12.49998003,6.510066792,3.238658783,1.223063762,100,
354,3,416,3_416,2.555368757,2.169637409,10.88291423,15.09496423,32.27956354,23.21041426,8.38953511,2.421003778,2.996598684,100,
355,12,106,12_106,0,0.010589526,19.80314436,10.0319329,42.61353159,18.44805016,6.883739782,1.744168001,0.464843686,100,
356,12,115,12_115,0.606802845,0,18.18288558,19.85766796,32.77240898,19.67176222,5.997416889,1.693209875,1.217845646,100,
357,12,215,12_215,0.109827157,0.061542491,42.14514862,5.574178342,26.29255598,14.06736939,7.499181616,3.03964253,1.210553882,100,
358,12,108,12_108,0,0.00711082,11.43668792,20.9850975,43.16534613,16.83273395,5.550528601,1.296124781,0.7263703,100,
362,12,402,12_402,2.255579614,1.316622252,16.62162725,7.700699534,29.01503165,27.14336276,11.05283977,3.294262159,1.599975017,100,
363,12,110,12_110,0,0.154713228,25.83638836,21.70645808,23.31965579,17.81772668,7.560527947,2.292110106,1.312419821,100,
364,12,204,12_204,1.597698451,0.615353384,22.36761972,7.853051074,29.51967545,25.03330521,9.173681907,2.665844081,1.173770721,100,
365,12,414,12_414,0,0,27.1086709,22.2216647,26.60922091,15.25619005,6.540131617,1.477700369,0.786421445,100,
366,12,313,12_313,0,0.017983829,41.09690348,5.599944213,21.79474946,20.51312636,7.322171125,2.664726371,0.990395167,100,
367,12,315,12_315,0,0.012310404,29.38736305,17.74123532,28.40155889,15.31883945,7.00154204,1.315107457,0.822043397,100,
368,12,303,12_303,1.067769411,0.519180639,19.90404235,5.00555487,34.16553512,25.81943406,9.247768976,2.87346515,1.397249432,100,
369,12,107,12_107,0,0.035665222,20.50376026,22.06356335,28.89389376,20.45224383,5.971282891,1.391604142,0.687986544,100,
370,12,113,12_113,0.214165444,0.120868084,27.71288537,2.810736828,43.91807064,17.30124462,5.813114803,1.581747196,0.52716701,100,
371,12,209,12_209,0.641806307,0.263351267,9.661137575,15.57677781,53.28546763,12.5176638,5.5728982,1.763168848,0.71772855,100,
372,12,201,12_201,0,0.125684597,20.89707381,7.10044903,41.52505837,20.48750279,7.01075261,2.168607349,0.684871447,100,
373,12,205,12_205,0,0.055295351,8.334679219,17.31784699,52.52853048,11.73479583,7.89669624,1.446575657,0.685580232,100,
374,12,202,12_202,0.829376614,0.26105324,28.88068459,4.276507014,32.4151938,21.51558918,8.419237782,2.451481288,0.950876496,100,
375,12,213,12_213,0,0,16.10408332,31.49484119,26.6536549,15.99037885,7.074134664,1.594939989,1.087967087,100,
379,12,214,12_214,0.404558145,0.124686809,23.07632686,23.60034845,26.7436355,16.46910547,6.911356104,1.463890532,1.20609213,100,
380,12,301,12_301,0,0.125341415,15.4029633,9.963894189,49.30407453,17.43704868,5.909005874,1.401578928,0.456093089,100,
381,12,404,12_404,8.132747226,1.571815797,8.251960419,11.17514913,40.21342352,17.45182525,9.293698089,1.603431948,2.305948622,100,
382,12,208,12_208,4.076313128,1.376994413,14.88281988,5.257706827,42.03482443,18.62736189,9.481153236,2.996037499,1.266788701,100,
383,12,401,12_401,0.38044703,0.032193128,13.19672085,20.02393654,37.85722537,20.60625342,6.30417204,0.964278883,0.634772745,100,
384,12,207,12_207,2.394274652,0.367059679,34.5934877,2.691165268,32.42984841,16.51265349,7.754100767,2.41426305,0.843146985,100,
385,12,210,12_210,1.121145355,0.521471057,11.66064322,16.89451271,49.83897796,11.64061343,6.202614322,1.002882547,1.117139399,100,
386,12,212,12_212,0.519285401,0.173667779,43.59857755,4.341538303,26.82604954,15.11409442,6.188007865,2.155854338,1.082924803,100,
387,12,109,12_109,0,0.103312326,18.45874672,21.10020962,33.60749981,17.87436555,7.066229867,0.782840822,1.006795285,100,
388,12,403,12_403,0.062494895,0.00417899,29.56578395,6.448371429,39.96216115,16.35808625,5.781062717,1.40186117,0.415999453,100,
389,12,112,12_112,0,0,31.15646284,24.91462444,23.15057698,12.53621561,6.179400981,1.33631307,0.726406079,100,
390,5,412,5_412,0.729148142,1.057854278,16.17853639,7.648562185,31.37954669,22.75126037,11.86339413,4.714585161,3.677112661,100,
395,5,410,5_410,0.915263051,1.071081193,12.39938751,7.93921359,28.79650228,27.66147594,13.26688431,4.679744605,3.27044752,100,
396,5,414,5_414,1.00173198,1.201352483,7.811331766,9.591656298,46.43448745,14.21370573,13.00523949,2.12643019,4.614064607,100,
397,5,411,5_411,1.072886829,0.988035376,11.18615498,6.586902504,26.180185,30.64694013,14.58932466,5.20593087,3.543639653,100,
398,5,112,5_112,0.557043795,0.858119796,8.515876174,12.63412776,50.49778608,12.05814703,10.6976665,1.636874682,2.544358176,100,
399,5,212,5_212,1.761806605,1.281045589,13.9203226,8.510790328,33.82755669,23.15062344,11.02084437,3.747139899,2.779870482,100,
400,5,312,5_312,0.819223843,0.590174212,7.591289257,11.64251279,48.75736901,13.64355437,12.14583425,1.797949818,3.012092449,100,
401,5,215,5_215,2.063734035,1.651756522,13.69486131,7.31315757,23.95421482,30.28571197,13.05270275,4.467374823,3.516486186,100,
402,5,415,5_415,5.244884475,1.517640159,13.0773918,5.328508089,25.74579848,27.72779229,13.20582397,4.610857656,3.541303073,100,
403,5,406,5_406,3.505934602,1.989631646,13.47822498,12.78029801,22.19395045,26.87283419,12.69287192,3.134849989,3.351404216,100,
405,5,309,5_309,1.518357497,0.976112386,11.65551152,12.35293804,36.02094949,20.24494459,12.44209616,1.725681277,3.063409044,100,
406,5,316,5_316,3.051218772,1.81085988,20.09215495,6.902948845,21.32497252,27.99319773,11.83440766,4.025369006,2.964870638,100,
407,5,413,5_413,0,0.632837839,8.69090256,10.94650988,42.31582728,17.92293958,14.18761159,1.765395709,3.537975553,100,
408,5,308,5_308,1.463271177,0.819712511,21.57332255,4.079603624,24.46896333,29.68296786,11.75797059,3.752226182,2.401962175,100,
412,5,313,5_313,0.564127751,1.10097,8.478969699,10.33949986,44.21138078,16.36584401,14.21506433,1.574714525,3.149429051,100,
413,5,409,5_409,0.065740912,0.560912222,16.25492096,5.298486806,23.91777388,32.08464046,13.66411392,4.784477456,3.368933383,100,
414,5,216,5_216,2.736382117,1.390200567,8.044275127,10.58097098,34.54812479,24.46336818,13.61027964,1.651913627,2.974484978,100,
415,5,405,5_405,3.396872182,0.995258825,12.72021253,6.878096549,27.82264711,29.26002773,12.04054722,4.045511397,2.840826457,100,
416,5,310,5_310,0.37383674,0.845282718,10.2997666,11.09524869,47.47162194,13.71841395,11.70846046,1.414337934,3.073030966,100,
417,5,416,5_416,1.371592177,0.553686028,9.678890792,4.770306363,26.47020854,33.0639493,14.91423604,5.366164333,3.810966426,100,
418,5,315,5_315,0.150838931,0.483128222,8.418143261,10.67362892,37.00078969,23.18571822,14.14203704,2.460449145,3.485266586,100,
419,5,213,5_213,6.512477524,1.454756806,12.18147669,5.618035434,23.59248485,29.59188932,13.07047883,4.56010857,3.418291971,100,
420,5,104,5_104,0.284593904,0.775652071,12.5913493,12.25862991,47.7820688,11.98473056,10.50888242,1.225120314,2.588972729,100,
424,5,208,5_208,1.420520368,0.839976896,12.57387326,7.784960693,24.25229329,33.21433117,13.522029,3.853320585,2.53869474,100,
425,5,111,5_111,0.466086978,0.517254211,9.247314496,12.42836587,46.11129028,14.31628172,14.02865985,0.684710611,2.200035972,100,
426,5,113,5_113,0.364033491,1.665536716,14.63481429,9.07278332,24.22091823,30.36005918,12.606413,3.951600244,3.123841522,100,
427,5,210,5_210,0.590638518,1.17711761,12.02397678,15.16896513,52.43002921,1.74002662,12.97209487,1.296816652,2.600334603,100,
428,5,114,5_114,3.760429327,1.890049497,11.72194724,7.317996865,24.43647872,30.43308497,13.34851127,3.967694774,3.123807343,100,
429,5,214,5_214,1.425732535,1.849110702,10.76248864,11.79689503,45.74815264,13.36831861,12.07822443,0.659980419,2.311096995,100,
430,5,115,5_115,1.937110147,1.977529195,17.80732131,8.561464262,25.42194208,27.07202237,11.01623863,3.277766247,2.928605761,100,
431,5,116,5_116,1.555395154,1.57280839,10.29346919,11.28630449,38.5857644,22.28051599,11.26538052,0.834711881,2.325649977,100,
432,5,314,5_314,1.344150135,1.616824659,12.70677521,5.850399223,24.35168606,31.53520029,14.03294876,4.695626172,3.866389483,100,
433,5,311,5_311,1.752880352,1.684085445,11.17083374,10.83763012,40.66508693,17.80259336,11.55632844,1.49264103,3.037920587,100,
434,3,211,3_211,0.735492434,0.718521863,36.08761663,5.762115018,33.30201859,16.36235806,4.657361137,1.245215663,1.1293006,100,
435,3,203,3_203,0,0.065025029,25.34687338,30.05825891,31.97005334,7.287196806,3.674353484,0.889261204,0.708977848,100,
436,3,212,3_212,7.909057927,2.460480625,20.93671717,8.269440077,29.82395522,19.09472557,7.22992934,2.066237064,2.209457008,100,
440,1,304,1_304,0.731306069,1.163470683,20.12714315,18.15493021,41.59544251,7.083161967,6.894551834,1.481087577,2.768905997,100,
441,1,310,1_310,0.999854063,1.723550829,36.3032716,7.989664682,26.337099,17.50923331,6.425147527,1.596136791,1.116042194,100,
442,1,204,1_204,0.262416496,0.990389162,16.94767655,22.165036,43.68901647,6.720093511,6.537267805,1.25030804,1.437795968,100,
443,1,308,1_308,0.078092103,0.303181105,45.18680856,5.029475941,24.79079738,15.92294147,6.356658883,1.518010948,0.81403361,100,
444,1,105,1_105,0.272795051,0.356978863,30.03991942,22.30340241,36.27482929,4.133770793,5.142495297,0.565957153,0.909851728,100,
445,1,107,1_107,0.132581739,0.232986337,50.51319561,1.545247615,23.39010017,15.95822335,6.186204349,1.345034292,0.69642655,100,
446,1,112,1_112,1.097432786,3.018005533,20.3270857,18.76474095,27.29932695,16.07515467,10.37305393,1.157181033,1.88801845,100,
447,1,209,1_209,0.128907302,0.408527122,35.88577274,2.58183369,30.9983582,19.89838128,7.653149571,1.599316342,0.845753755,100,
451,1,203,1_203,0.700003487,2.029788192,14.08122957,16.14240379,34.4185818,14.84796799,11.44749815,0.689858509,5.64266851,100,
452,1,104,1_104,0.062245428,0.424689075,40.21477694,6.929638493,28.04201869,15.45424055,6.064850067,1.62835249,1.179188271,100,
453,1,302,1_302,0,0.120157126,34.71727841,25.28738332,23.82959732,10.3983796,4.185262412,0.729977125,0.731964686,100,
454,1,413,1_413,0,0.007573418,55.21318428,4.47054386,21.40173565,11.65548969,5.476471916,1.194818,0.580183188,100,
455,1,402,1_402,0,0,17.96721097,36.90958005,33.42404008,7.799991633,3.008420084,0.50604176,0.384715429,100,
456,1,313,1_313,4.946887139,1.777819794,27.42204957,9.16411702,25.44552924,17.13138987,9.022826498,2.847811888,2.241568978,100,
457,1,207,1_207,1.703511013,0.511677872,11.51454777,20.89697428,42.95517783,10.51508177,9.101058332,1.187929586,1.614041553,100,
458,1,114,1_114,4.500756857,2.893989201,25.94155257,5.532821608,27.34583277,19.08253694,9.170535674,2.880857169,2.651117211,100,
459,1,103,1_103,0,0.029788808,17.30010683,23.37628987,46.43165303,6.146326145,5.289641126,0.71581184,0.710382353,100,
460,1,401,1_401,0.365780617,0.357402601,44.15357082,7.276930865,29.73215304,9.305836803,6.49652758,1.410715304,0.901082368,100,
461,1,202,1_202,0,0.223075367,21.01342731,30.9818039,36.18819237,6.07826892,4.234542258,0.649971994,0.630717886,100,
462,1,311,1_311,0,0.103815564,48.12936475,3.794253584,27.16350854,13.72770214,5.405643187,1.033463412,0.642248829,100,
463,1,407,1_407,0,0.087880957,20.23455229,31.19652132,32.92794371,8.180544344,5.649511857,0.698478456,1.024567068,100,
467,1,108,1_108,1.357495235,1.048604104,43.5446799,2.813656239,25.84706806,16.11419442,6.637235116,1.57556901,1.061497926,100,
468,1,101,1_101,0.147224799,0.403122171,19.14117936,32.91298372,31.38625976,9.43523785,5.134150566,0.575489725,0.864352043,100,
469,1,106,1_106,8.282427785,2.092016471,24.42048308,6.527402802,27.16173645,18.33350479,8.610799854,2.531328809,2.040299956,100,
470,1,211,1_211,0.242265445,0.24391127,23.37894463,29.98660298,33.52677264,7.700815342,4.089216884,0.508230771,0.323240037,100,
472,1,115,1_115,11.72960841,5.408529113,18.02628509,16.9115419,23.25675563,13.07818756,8.539839265,1.314254608,1.734998431,100,
473,1,113,1_113,6.565688365,3.723586272,31.89029081,2.572729289,19.42440726,18.74221515,10.39412198,3.738368926,2.948591952,100,
474,1,208,1_208,1.289972186,0.873915834,12.20783068,21.80016787,44.22804101,9.579500008,8.002501605,0.875232468,1.142838334,100,
475,1,405,1_405,0.171955443,0.631076475,35.25774401,5.072685566,27.79556561,21.04975359,7.296757264,1.687226806,1.037235232,100,
476,1,406,1_406,0,0.185606737,18.14556924,27.13391954,28.93902874,14.78939773,7.971790752,1.275069928,1.55961733,100,
477,1,213,1_213,1.468755316,1.092984057,47.48295112,4.401317519,19.73866114,16.18630832,6.609862836,1.860608966,1.158550729,100,
478,1,210,1_210,0,0.012420249,16.42349127,31.70203169,36.85218596,8.952057839,4.77623941,0.753059303,0.528514277,100,
479,1,214,1_214,1.337477291,1.376514571,39.83394141,4.018137321,21.60202994,19.68259688,8.056393856,2.435626023,1.657282705,100,
480,1,205,1_205,2.033119382,3.17504662,18.21216799,18.58268321,33.7364418,12.25843175,8.52708847,1.297676335,2.177344443,100,
484,7,313,7_313,0.187793427,1.314553991,23.60915493,11.34242958,44.15786385,8.397887324,8.2467723,0.614730047,2.128814554,100,
485,7,316,7_316,6.014940752,1.848274086,40.66202988,0.297849047,15.6555899,20.04765585,9.928838228,2.889940752,2.654881504,100,
486,7,411,7_411,0.037216226,0.144729769,16.66873423,12.58942232,54.43906877,6.351569284,7.222015465,0.758797502,1.788446429,100,
487,7,207,7_207,2.179204822,1.153355744,32.64460415,0.46510954,21.46458792,24.55372667,12.0913991,2.968876782,2.479135273,100,
488,7,301,7_301,0,0.195961995,46.61817102,13.29127078,31.88836105,3.503562945,3.15172209,0.241983373,1.108966746,100,
489,6,207,6_207,0.158308362,0.686945214,59.06315373,0.759032057,14.82444733,13.66540397,6.828461582,1.943517838,2.070729915,100,
490,1,306,1_306,1.110577912,0.880921368,17.93720436,27.11832454,41.58154521,2.930691712,6.051621307,0.584424488,1.804689107,100,
491,18,115,18_115,4.377612634,4.865304227,34.06583837,0.881038086,16.33186252,19.28704134,13.45361124,3.827508128,2.910183465,100,
492,7,403,7_403,1.508705145,0.207132061,36.72955271,20.82656889,31.47567598,2.558360858,5.140513911,0.331691205,1.22179925,100,
493,6,414,6_414,0.745405866,0.693683826,37.15467932,0.594803456,18.87550201,21.91493246,12.58518924,3.600766703,3.835037118,100,
494,6,409,6_409,0.576193246,1.099753456,48.42516413,15.62508657,22.6792986,3.191224134,6.367212388,0.322723621,1.71334386,100,
495,1,409,1_409,0.110838679,0.557552145,48.44657912,0.874953817,21.24743895,18.09357472,7.783898163,1.640748329,1.244416082,100,
496,18,109,18_109,0.563012805,1.980843833,34.21675993,20.52078684,30.62583679,3.141199492,6.682344056,0.65742044,1.611795805,100,
